"Age","Cmp","Att","Cmp.","Yds","TD","TD.","Int","Int.","Lng","Y.A","AY.A","Y.C","Y.G","Rate","QBR","Sk","Yds.1","NY.A","ANY.A","Sk.","X4QC","Wins"
28,396,583,67.9,4770,29,5,15,2.6,72,8.2,8,12,298.1,98.6,73.8,25,149,7.6,7.44,4.1,2,9
33,393,571,68.8,4500,33,5.8,16,2.8,80,7.9,7.8,11.5,281.3,99.9,81.3,10,74,7.62,7.51,1.7,7,14
32,371,565,65.7,4398,28,5,13,2.3,81,7.8,7.7,11.9,274.9,96.2,73.2,16,86,7.42,7.38,2.8,1,10
26,336,555,60.5,3666,27,4.9,26,4.7,71,6.6,5.5,10.9,229.1,76.8,50.3,35,204,5.87,4.8,5.9,2,7
29,347,550,63.1,4483,26,4.7,9,1.6,80,8.2,8.4,12.9,280.2,97.6,64.5,34,196,7.34,7.54,5.8,3,11
27,336,541,62.1,3802,21,3.9,12,2.2,87,7,6.8,11.3,237.6,86.8,57.7,29,159,6.39,6.18,5.1,3,8
26,350,541,64.7,4434,30,5.5,7,1.3,83,8.2,8.7,12.7,277.1,103.2,70.7,50,306,6.98,7.47,8.5,2,11
40,363,531,68.4,4202,33,6.2,7,1.3,63,7.9,8.6,11.6,262.6,107.2,75.6,34,247,7,7.61,6,2,12
31,314,516,60.9,3597,15,2.9,10,1.9,63,7,6.7,11.5,224.8,83.5,55.5,42,236,6.02,5.75,7.5,3,7
30,363,514,70.6,4388,34,6.6,11,2.1,75,8.5,8.9,12.1,292.5,109.6,83.4,20,135,7.96,8.31,3.7,2,13
38,339,513,66.1,3753,26,5.1,14,2.7,45,7.3,7.1,11.1,250.2,93.2,68.1,24,172,6.67,6.46,4.5,1,10
28,317,509,62.3,4021,27,5.3,14,2.8,74,7.9,7.7,12.7,251.3,93.1,69.8,30,216,7.06,6.89,5.6,1,8
28,327,507,64.5,3618,20,3.9,15,3,84,7.1,6.6,11.1,226.1,86.4,54.7,43,285,6.06,5.56,7.8,1,4
27,337,506,66.6,4328,26,5.1,12,2.4,60,8.6,8.5,12.8,288.5,100.5,69,50,348,7.16,7.12,9,2,9
24,315,499,63.1,3613,21,4.2,12,2.4,72,7.2,7,11.5,225.8,88.9,59.8,36,218,6.35,6.12,6.7,1,9
27,271,493,55,2924,16,3.2,16,3.2,61,5.9,5.1,10.8,194.9,69.9,29.1,42,243,5.01,4.26,7.9,1,4
34,293,488,60,3029,17,3.5,17,3.5,53,6.2,5.3,10.3,216.4,75.1,35,32,209,5.42,4.61,6.2,0,5
28,317,486,65.2,4254,28,5.8,9,1.9,81,8.8,9.1,13.4,265.9,104.4,76.9,25,167,8,8.3,4.9,2,13
30,282,466,60.5,3094,21,4.5,13,2.8,73,6.6,6.3,11,193.4,83.6,59.5,26,213,5.86,5.52,5.3,3,10
24,274,451,60.8,2878,12,2.7,14,3.1,67,6.4,5.5,10.5,205.6,75.2,52.8,26,176,5.66,4.85,5.5,3,7
24,263,451,58.3,2916,22,4.9,14,3.1,90,6.5,6,11.1,208.3,80.9,64.9,19,92,6.01,5.6,4,1,9
33,267,443,60.3,3553,22,5,10,2.3,60,8,8,13.3,253.8,92.9,57,35,264,6.88,6.86,7.3,2,10
21,201,377,53.3,2267,13,3.4,20,5.3,75,6,4.3,11.3,226.7,61,37,24,169,5.23,3.64,6,1,2
34,178,321,55.5,2015,8,2.5,18,5.6,52,6.3,4.3,11.3,183.2,59.4,36.9,23,187,5.31,3.42,6.7,1,4
21,158,290,54.5,1855,10,3.4,18,6.2,42,6.4,4.3,11.7,185.5,59.8,37.2,20,102,5.65,3.69,6.5,2,3
26,152,259,58.7,1879,10,3.9,7,2.7,66,7.3,6.8,12.4,156.6,82.8,69.5,9,36,6.88,6.45,3.4,3,8
25,136,256,53.1,1339,8,3.1,7,2.7,59,5.2,4.6,9.8,133.9,67.2,42.7,19,104,4.49,3.93,6.9,0,2
32,140,247,56.7,1469,5,2,6,2.4,50,5.9,5.3,10.5,163.2,70.7,32.3,14,85,5.3,4.65,5.4,0,1
24,120,246,48.8,1287,3,1.2,11,4.5,86,5.2,3.5,10.7,107.3,50,19.5,33,207,3.87,2.31,11.8,2,2
27,127,227,55.9,1422,9,4,10,4.4,98,6.3,5.1,11.2,142.2,69.7,35.3,21,127,5.22,4.13,8.5,1,4
26,81,182,44.5,888,3,1.6,10,5.5,43,4.9,2.7,11,111,42.1,23.1,11,75,4.21,2.19,5.7,0,3
29,87,155,56.1,943,5,3.2,2,1.3,61,6.1,6.1,10.8,157.2,79.6,38.1,18,107,4.83,4.89,10.4,1,3
26,82,150,54.7,1007,6,4,3,2,75,6.7,6.6,12.3,143.9,80.6,60,11,71,5.81,5.72,6.8,2,2
25,85,138,61.6,1053,8,5.8,2,1.4,66,7.6,8.1,12.4,150.4,98.5,65.8,9,78,6.63,7.11,6.1,1,4
32,69,119,58,781,4,3.4,3,2.5,50,6.6,6.1,11.3,130.2,78.4,65.3,8,34,5.88,5.45,6.3,1,0
34,450,679,66.3,4700,33,4.9,17,2.5,73,6.9,6.8,10.4,293.8,91.9,75.7,16,91,6.63,6.48,2.3,0,10
31,448,658,68.1,4620,33,5,22,3.3,80,7,6.5,10.3,288.8,90.9,70.6,25,185,6.49,6.01,3.7,4,11
31,362,586,61.8,3970,26,4.4,20,3.4,78,6.8,6.1,11,248.1,82.4,54.6,26,201,6.16,5.54,4.2,1,4
29,365,574,63.6,4370,24,4.2,12,2.1,60,7.6,7.5,12,273.1,92,62.9,32,226,6.84,6.74,5.3,2,6
25,357,571,62.5,3705,28,4.9,9,1.6,46,6.5,6.8,10.4,231.6,91,69.8,23,158,5.97,6.23,3.9,5,13
29,357,541,66,4710,30,5.5,13,2.4,59,8.7,8.7,13.2,294.4,101.8,68.1,38,227,7.74,7.77,6.6,1,9
29,339,539,62.9,4002,31,5.8,25,4.6,92,7.4,6.5,11.8,250.1,85.3,61.1,16,117,7,6.09,2.9,1,10
24,278,507,54.8,3291,17,3.4,13,2.6,74,6.5,6,11.8,205.7,75.3,51.6,27,171,5.84,5.38,5.1,3,11
28,293,498,58.8,3653,20,4,9,1.8,71,7.3,7.3,12.5,281,87.5,53.3,34,243,6.41,6.4,6.4,1,3
33,324,492,65.9,3900,36,7.3,4,0.8,79,7.9,9,12,243.8,111,78.3,25,175,7.21,8.25,4.8,2,14
25,301,490,61.4,3301,15,3.1,19,3.9,57,6.7,5.6,11,220.1,75.4,46.9,30,178,6.01,4.94,5.8,0,6
25,306,489,62.6,3622,25,5.1,10,2,67,7.4,7.5,11.8,226.4,93.6,60.1,40,294,6.29,6.39,7.6,2,12
27,312,475,65.7,3922,28,5.9,11,2.3,86,8.3,8.4,12.6,261.5,101.2,69.2,31,193,7.37,7.5,6.1,0,10
22,291,474,61.4,3451,25,5.3,6,1.3,64,7.3,7.8,11.9,215.7,95.9,70.3,28,195,6.49,6.94,5.6,5,10
34,275,472,58.3,3377,14,3,15,3.2,76,7.2,6.3,12.3,259.8,77.1,48.2,37,271,6.1,5.33,7.3,2,5
28,262,450,58.2,3116,27,6,7,1.6,75,6.9,7.4,11.9,207.7,93,60.1,26,182,6.16,6.64,5.5,1,10
35,266,444,59.9,3001,12,2.7,17,3.8,87,6.8,5.6,11.3,214.4,73.2,50.3,29,175,5.97,4.86,6.1,0,6
28,255,441,57.8,3000,23,5.2,15,3.4,65,6.8,6.3,11.8,230.8,81.8,50.7,24,145,6.14,5.68,5.2,1,4
27,261,432,60.4,3274,23,5.3,16,3.7,89,7.6,7,12.5,218.3,86.3,51.1,52,352,6.04,5.5,10.7,4,10
30,257,416,61.8,2686,16,3.8,12,2.9,75,6.5,5.9,10.5,244.2,81.3,51.4,17,113,5.94,5.43,3.9,1,3
28,240,389,61.7,3200,17,4.4,5,1.3,56,8.2,8.5,13.3,266.7,97,68.2,32,220,7.08,7.35,7.6,2,9
30,233,372,62.6,3018,21,5.6,6,1.6,91,8.1,8.5,13,251.5,100.2,65,34,210,6.92,7.29,8.4,4,8
32,236,366,64.5,2734,23,6.3,15,4.1,75,7.5,6.9,11.6,195.3,90.8,67,33,253,6.22,5.68,8.3,1,8
41,217,358,60.6,2509,11,3.1,19,5.3,53,7,5.2,11.6,193,69.9,35.2,22,139,6.24,4.57,5.8,1,5
29,194,329,59,2387,13,4,8,2.4,73,7.3,7,12.3,183.6,84.5,49.2,33,208,6.02,5.74,9.1,2,7
27,169,327,51.7,2065,7,2.1,10,3.1,43,6.3,5.4,12.2,172.1,65.9,30.9,25,176,5.37,4.49,7.1,1,2
38,209,318,65.7,2365,16,5,12,3.8,71,7.4,6.7,11.3,236.5,88.9,55.7,21,100,6.68,6.03,6.2,1,4
38,160,278,57.6,1823,14,5,8,2.9,80,6.6,6.3,11.4,182.3,82.2,59.4,13,91,5.95,5.68,4.5,1,2
27,93,156,59.6,1255,10,6.4,3,1.9,71,8,8.5,13.5,139.4,98.6,59.8,13,80,6.95,7.34,7.7,0,4
35,93,149,62.4,872,2,1.3,7,4.7,49,5.9,4,9.4,174.4,63.4,26.7,6,49,5.31,3.54,3.9,1,2
26,73,145,50.3,1176,5,3.4,4,2.8,66,8.1,7.6,16.1,196,77.8,38.5,18,112,6.53,6.04,11,2,3
26,79,143,55.2,857,5,3.5,10,7,39,6,3.5,10.8,142.8,55.6,32.8,13,90,4.92,2.67,8.3,1,1
30,74,133,55.6,884,7,5.3,4,3,64,6.6,6.3,11.9,221,81.2,34.5,9,77,5.68,5.4,6.3,0,1
22,60,126,47.6,662,2,1.6,2,1.6,74,5.3,4.9,11,132.4,62.3,26.1,9,65,4.42,4.05,6.7,1,2
26,69,119,58,780,4,3.4,3,2.5,87,6.6,6.1,11.3,130,78.4,51.6,6,42,5.9,5.46,4.8,2,2
22,57,96,59.4,535,6,6.3,1,1,36,5.6,6.4,9.4,178.3,91.3,50.5,4,36,4.99,5.74,4,1,1
23,41,82,50,654,5,6.1,3,3.7,50,8,7.5,16,72.7,82.1,63.2,6,26,7.14,6.74,6.8,1,1
25,39,78,50,370,1,1.3,6,7.7,26,4.7,1.5,9.5,61.7,35.7,8.8,14,90,3.04,0.33,15.2,0,1
25,22,44,50,238,2,4.5,0,0,37,5.4,6.3,10.8,119,81.4,63.9,3,25,4.53,5.38,6.4,1,1
23,421,663,63.5,5038,41,6.2,16,2.4,73,7.6,7.7,12,314.9,97.2,61.6,36,257,6.84,6.98,5.2,3,10
32,468,657,71.2,5476,46,7,14,2.1,79,8.3,8.8,11.7,342.3,110.6,83,24,158,7.81,8.23,3.5,3,13
34,401,611,65.6,5235,39,6.4,12,2,99,8.6,9,13.1,327.2,105.6,75.2,32,173,7.87,8.25,5,1,13
30,359,589,61,4933,29,4.9,16,2.7,99,8.4,8.1,13.7,308.3,92.9,64,28,199,7.67,7.45,4.5,5,9
